user_id,incoming,ground_truth,generated_reply
U01,"Holiiiii, Ne contajiaste el Holiiii",Jajajaja sii el holii es contajiosos jaja,"Jajajajaja, sí, me olvidé"
U01,Waaoooo pense que ibas a dormir,No voy al culto jaja y de ahi a seguir estudiando,"Jajajaja no, no, no!"
U01,"Hoodoo sorry ok., Hola mi preciosa","Hola Pa, Pa estoy con.la.[NAME, 5] en.un concierto cristiano","Haha jajaja, ¡hola mi amor!"
U01,"Gracias a Dios, Todo bien?",Si todo esta bien :) aun no se despierta,"Si, todo bien."
U01,"Hijita  que va a comer, Posiblemente  hoy vaya al [NAME, 5] con el carro","Estoy con la.[NAME, 4] ahi vemos q comemos",Hahahaha! ¡Eso sería una sorpresa!
U01,"[EMO, 15], Jejej, Ni yo, Aver llegaste preciosa",No pare hacer compra para la casa no hay leche te escribo en 5,"Jajajaja, Gracias princesita"
U01,Necesito que me expliques algo  maÂ–ana,Dale.maÂ–ana te explico sabes q no mas hay de deberes,"Ok, cuéntame qué necesitas que explique"
U01,"Dios te bendiga mucho tambien corazon, sabes estoy enfermito no fui a trabajar : ( creo que necesito descanzar y por eso me quede en caza","[NAME, 5] ya nada bueno hermanito que se.mejore","Ay, mi corazón, espero que te mejores pronto. Descansa un poco, pero no te olvides de llamarme cuando puedas."
U01,"Buenas niches, Noches",Que tenga tambien una buena noche.,Haha jajajaja ¿cómo estás?
U01,"Hola esta bien gracias, Como esta todo?",Todo bien nina esta jugando :) ya comio y ya le cambie el paÂ–al,"Hola! Todo bien, gracias. Estoy bien, solo un poco cansado. ¿Y tú?"
U01,"Hola [NAME, 6] perdon se que es tarde, pero no tienes que venir  maÂ–ana. El papa de [NAME, 5]ina le dieron el dÂ’a libre  maÂ–ana.","Sra. [NAME, 4]ÂComo esta? Le dejo saber que ya estoy en camino","No worries, entiendo. Gracias por el aviso, pero espero que [NAME, 5]ina esté bien."
U01,(2/2) icio regular?,Como como,"Hahahaha, no jaja ¡estoy en crisis de cafeína!"
U01,"tanks baby see you tomorrow: )[EMO, 15]","Holi hermanito como esta hoy hay practica? Si si hay le caigo un ratito para sa[NAME, 4]r despues del work :)",:)) see you then
U01,Espero hasta las doce.Contesteme,"[NUMBER, 3] y [PLACE, 5]","Ok, hasta las doce."
U01,"Y ahora????, Yo acabo de despertar, Pero quiero seguir durmiendo pero mi cuerpo ya no quiere estar acostado jajajaja, [NAME, 15]   [NAME, 5] y [NAME, 5] + [NAME, 5]: [WEB, 7]","Jaja que ricoo yo estpy trabajando con mami [NAME, 6] despues le texteo","Jajajaja, me río contigo, despertarse es el peor, ¿qué hora es?"
U01,"Ok compra tu leche mujer[EMO, 14], Comiste preciosa, Estas",Me acavbo de despertar me.quede bieb dormida esque cami tanto y me.muero del hambre,"Haha jajajaja, ¡gracias!"
U01,"Estoy en [PLACE, 6]..sorry no conteste antes se me apago ya casi no tengo bateria, Asta donde vienes","Vengo de [PLACE, 12] de [PLACE, 18]","Haha, no te preocupes, asta donde vienes"
U01,"Si kieres ir con nosotroa tendremos reunion en casa de la hna quircia a las 7:45 estoy en la iglesia, Ok, Iba a pasar a tu caza pero ya no me da tiempo",Que tal les fue?,"No worries, ya entiendo. Mañana nos vemos en la casa de la hna Quiricia a las 7:45, ¡hasta luego!"
U01,oooo my god no es posible...pero el sabado pasado tu no te presentaste talves penso que no venias digo alo mejor nose,Pero yo le.dije q no iba ir y despues llegue a la iglesia y le.volvia reatificar porq no iba hoy me.dijo q nos veamos a la 7:15 y hasta ahorita no viene enserio que estres. Eso me enoja demasiafo que piensa de.la vida y me muero de frio que mal.ya no quiero ir a estas clases enserio o mejor deme usted las clases para no seguir perdiendo el tiempo ahorita estoy que hecjo chispas >:(,"Jajajaja nooooo, ¡eso es mentira!"
U01,"y yo a ti mas [EMO, 6][EMO, 51 descanza  maÂ–ana hablamos , me encanta tu nariz",Jajajajajaja q malo no me haga bullying mejor borre eso,Jajajajaja lol me encanta tu sonrisa
U01,Mi princesita  donde anda.Le llame y no me. Contesta..............,"Hola pa, Estaba en la.iglesia, Y desoues me.dormi hace un rato me.desperte","Holi! Estoy en casa, pero no recibi tu llamada. ¿Qué pasó?"
U01,"Awwww que Linda, Buen dia [NAME, 6] [NAME, 5] llego talde Ayer. Y hoy entreo a trabajar Temprano. Puedes esperar para cobrar el lunes? , Buen dia [NAME, 6] [NAME, 5] llego talde Ayer. Y hoy entreo a trabajar Temprano. Puedes esperar para cobrar el lunes?","Sra. [NAME, 4] Buenos dÂ’asno se preocupe el Lunes cobro.","Muchas gracias, sí, espero para el lunes"
U01,"Donde esta, Que tal las clases",En la casa me fue super bien hay q buscar la camiseta q ya me.pidieron uniforme,"Estoy bien, las clases están siendo largas pero no hay nada nuevo"
U01,Yeah,Eso de ver a donde vamos a ir,Haha jajaja
U01,Como a que hora aras la tarea,"Aun no llego a la casa pero la.hago.rapido, Como en.5 llego a la casa como.y de ahi me.pongo hacer",Mañana a las 3 pm
